question,type,option1,option2,option3,option4,answer
請問1+1=?,choice,3,1,4,2,2
請問2-1=?,choice,1,2,3,4,1
請問3*3=?,choice,6,9,12,15,9
請問4/2=?,choice,1,2,3,4,2
請問5+5=?,choice,11,8,9,10,10
請問6-3=?,choice,2,3,4,5,3
請問7*2=?,choice,12,13,14,15,14
請問8/4=?,choice,1,2,3,4,2
請問9+9=?,choice,16,17,18,19,18
請問10-5=?,choice,4,5,6,7,5
請問11*1=?,choice,10,11,12,13,11
請問12/3=?,choice,2,3,4,5,4
請問13+7=?,choice,19,20,21,22,20
請問14-7=?,choice,6,7,8,9,7
請問15*2=?,choice,28,29,30,31,30
請輸入5的平方是多少？,fill,,,,,,25
